Fact,Value,Unit,Period,Source Document,Page,Section / Note,Exact Reference,Extraction Date,Validation Notes
Iron Ore underlying EBITDA,14396,US$m,FY25,BHP Financial Results year ended 30 June 2025 (AR25),21,Segment performance table,"Total row for Iron Ore — Underlying EBITDA column",2025-08-19,Verified against segment table. Iron Ore total = 14396 incl. WAIO + Samarco equity share.
Copper underlying EBITDA,12701,US$m,FY25,AR25,21,Segment performance table,"Total Copper from Group production row — Underlying EBITDA column (NOT the Escondida sub-line 8593)",2025-08-19,"CRITICAL: initial misread grabbed Escondida line (8593). Correct total includes Escondida 8593 + Pampa Norte 1270 + Copper SA 1936 + Antamina 1002 + Other (100). Caught by re-checking AR25 p.21 against citation."
Escondida EBITDA (sub-line — NOT segment total),8593,US$m,FY25,AR25,21,Segment performance table,Escondida row under Copper sub-heading — Underlying EBITDA column,2025-08-19,This is the line that was initially (incorrectly) used as the copper segment total. Retained here as a warning.
Coal underlying EBITDA,721,US$m,FY25,AR25,21,Segment performance table,BMA row 591 + NSWEC row 303 = BHP share 721 (BMA 50% JV equity share used),2025-08-19,BMA is 50% JV; AR25 reports BHP's proportionate share. Coal total line cross-checks.
Group underlying EBITDA,25978,US$m,FY25,AR25,21,Segment performance table,Total Group underlying EBITDA row,2025-08-19,Cross-check: Iron Ore 14396 + Copper 12701 + Coal 721 + Other/elims ≈ 25978. Segment sub-totals confirm.
Net debt (reported),12924,US$m,FY25,AR25,154,Note 21 — Net debt,Net debt line (after lease liabilities and hedging derivatives),2025-08-19,Note 21 reconciliation table. Includes gross debt + lease liabilities – cash and equivalents.
Non-controlling interests (book value),4553,US$m,FY25,AR25,Balance sheet — Equity section,Note 18 — Non-controlling interests,NCI balance sheet carrying value,2025-08-19,NCI represents third-party ownership in consolidated subsidiaries (principally Escondida 43.1% JECO/BHP JV).
Depreciation & amortisation — PP&E,5429,US$m,FY25,AR25,140,Note 11 — Property plant and equipment,Depreciation for the year row — total column,2025-08-19,
Depreciation & amortisation — Intangibles,111,US$m,FY25,AR25,142,Note 12 — Intangible assets,Amortisation for the year row — total column,2025-08-19,
D&A total (used in model),5540,US$m,FY25,AR25,140 + 142,Notes 11 + 12,PP&E 5429 + Intangibles 111,2025-08-19,Sum of Note 11 and Note 12 amounts. Cross-checks to income statement D&A line.
Income tax expense,6130,US$m,FY25,AR25,136,Note 6 — Income tax expense,Total taxation expense line,2025-08-19,
Underlying effective tax rate (adjusted),37.2,%,FY25,AR25,OFR p.13,Effective tax rate table,Adjusted ETR excluding exceptional items,2025-08-19,Statutory 30% + royalty-related tax uplift. Use 37.2% for underlying NOPAT normalisation.
Potash / Jansen — net operating assets (invested capital),8524,US$m,FY25,AR25,21,Segment performance table — Capital employed column,Potash row — Net operating assets / capital employed,2025-08-19,Jansen is pre-production; valued at invested capital rather than an EBITDA multiple.
Shares outstanding,5081,m shares,Live,yfinance BHP.AX,N/A,N/A,sharesOutstanding field (converted to millions),2026-06-29,Live pull at model run date. Verify against latest ASX announcements if >3 months old.
Realised iron ore price,82.13,US$/wmt,FY25,AR25,12,Operational review — Iron ore,Realised price per wet metric tonne,2025-08-19,BHP's realised price (net of freight and treatment charges) for FY25.
Realised copper price,4.25,US$/lb,FY25,AR25,7,Operational review — Copper,Realised copper price per pound,2025-08-19,BHP's weighted average realised copper price for FY25.
